Season,Round,TeamA,TeamB,SeedA,SeedB,label,AdjEM_A,AdjEM_B,d_AdjEM,AdjO_A,AdjO_B,d_AdjO,AdjD_A,AdjD_B,d_AdjD,AdjT_A,AdjT_B,d_AdjT,Luck_A,Luck_B,d_Luck,SOS-AdjEM_A,SOS-AdjEM_B,d_SOS-AdjEM,NCSOS-AdjEM_A,NCSOS-AdjEM_B,d_NCSOS-AdjEM,Momentum_A,Momentum_B,d_Momentum,OffEFG_A,OffEFG_B,d_OffEFG,DefEFG_A,DefEFG_B,d_DefEFG,d_Seed
2010,First Round,UNLV,Northern Iowa,8,9,0,16.56,18.87,-2.3100000000000023,110.6,109.6,1.0,94.0,90.8,3.200000000000003,66.3,58.9,7.399999999999999,-0.013,0.034,-0.047,4.08,4.08,0.0,0.67,-1.58,2.25,9.914018677565885,6.923430252266911,2.9905884252989736,52.2,49.6,2.6000000000000014,45.8,46.6,-0.8000000000000043,-1
2010,First Round,Michigan St.,New Mexico St.,5,12,1,20.13,6.03,14.099999999999998,112.8,111.6,1.2000000000000028,92.7,105.5,-12.799999999999997,65.3,70.3,-5.0,0.027,0.122,-0.095,9.03,4.03,4.999999999999999,-0.94,2.09,-3.03,5.480421281279824,16.460823296721113,-10.980402015441289,51.6,53.2,-1.6000000000000014,46.6,51.1,-4.5,-7
2010,First Round,New Mexico St.,Michigan St.,12,5,0,6.03,20.13,-14.099999999999998,111.6,112.8,-1.2000000000000028,105.5,92.7,12.799999999999997,70.3,65.3,5.0,0.122,0.027,0.095,4.03,9.03,-4.999999999999999,2.09,-0.94,3.03,16.460823296721113,5.480421281279824,10.980402015441289,53.2,51.6,1.6000000000000014,51.1,46.6,4.5,7
2010,First Round,Maryland,Houston,4,13,1,22.37,8.79,13.580000000000002,118.3,112.0,6.299999999999997,95.9,103.2,-7.299999999999997,68.7,71.1,-2.3999999999999915,-0.023,-0.083,0.060000000000000005,8.87,3.76,5.109999999999999,-4.35,0.68,-5.029999999999999,7.675616554692951,10.22597640873169,-2.5503598540387387,51.8,48.1,3.6999999999999957,44.9,51.2,-6.300000000000004,-9
2010,First Round,Houston,Maryland,13,4,0,8.79,22.37,-13.580000000000002,112.0,118.3,-6.299999999999997,103.2,95.9,7.299999999999997,71.1,68.7,2.3999999999999915,-0.083,-0.023,-0.060000000000000005,3.76,8.87,-5.109999999999999,0.68,-4.35,5.029999999999999,10.22597640873169,7.675616554692951,2.5503598540387387,48.1,51.8,-3.6999999999999957,51.2,44.9,6.300000000000004,9
2010,First Round,Tennessee,San Diego St.,6,11,1,18.5,16.58,1.9200000000000017,108.9,111.4,-2.5,90.4,94.9,-4.5,67.5,63.1,4.399999999999999,0.082,0.006,0.076,8.67,5.4,3.2699999999999996,-0.48,2.24,-2.72,12.114913782250778,7.329270196638753,4.785643585612025,50.6,51.7,-1.1000000000000014,45.2,46.9,-1.6999999999999957,-5
2010,First Round,San Diego St.,Tennessee,11,6,0,16.58,18.5,-1.9200000000000017,111.4,108.9,2.5,94.9,90.4,4.5,63.1,67.5,-4.399999999999999,0.006,0.082,-0.076,5.4,8.67,-3.2699999999999996,2.24,-0.48,2.72,7.329270196638753,12.114913782250778,-4.785643585612025,51.7,50.6,1.1000000000000014,46.9,45.2,1.6999999999999957,5
2010,First Round,Ohio,Georgetown,14,3,1,8.25,22.64,-14.39,107.3,116.8,-9.5,99.0,94.2,4.799999999999997,68.8,65.8,3.0,-0.068,-0.035,-0.033,0.76,11.55,-10.790000000000001,-0.9,3.35,-4.25,12.073084824562695,13.69741145403652,-1.6243266294738241,49.4,55.7,-6.300000000000004,46.7,47.4,-0.6999999999999957,11
2010,First Round,Georgetown,Ohio,3,14,0,22.64,8.25,14.39,116.8,107.3,9.5,94.2,99.0,-4.799999999999997,65.8,68.8,-3.0,-0.035,-0.068,0.033,11.55,0.76,10.790000000000001,3.35,-0.9,4.25,13.69741145403652,12.073084824562695,1.6243266294738241,55.7,49.4,6.300000000000004,47.4,46.7,0.6999999999999957,-11
2010,First Round,Georgia Tech,Oklahoma St.,10,7,1,18.22,16.72,1.5,109.2,112.2,-3.0,91.0,95.4,-4.400000000000006,68.2,66.2,2.0,-0.034,0.011,-0.045,10.94,8.47,2.469999999999999,-2.46,-4.33,1.87,9.479960300431454,17.318519586332606,-7.838559285901152,50.3,52.5,-2.200000000000003,44.3,48.1,-3.8000000000000043,3
