Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2013,south,Sweet 16,2013-03-29,Florida,3,62,Florida Gulf Coast,15,50
2013,south,Elite 8,2013-03-31,Michigan,4,79,Florida,3,59
2013,west,First Round,2013-03-21,Gonzaga,1,64,Southern,16,58
2013,west,First Round,2013-03-21,Wichita St.,9,73,Pittsburgh,8,55
2013,west,First Round,2013-03-22,Mississippi,12,57,Wisconsin,5,46
2013,west,First Round,2013-03-22,La Salle,13,63,Kansas St.,4,61
2013,west,First Round,2013-03-21,Arizona,6,81,Belmont,11,64
2013,west,First Round,2013-03-21,Harvard,14,68,New Mexico,3,62
2013,west,First Round,2013-03-22,Iowa St.,10,76,Notre Dame,7,58
2013,west,First Round,2013-03-22,Ohio St.,2,95,Iona,15,70
2013,west,Second Round,2013-03-23,Wichita St.,9,76,Gonzaga,1,70
2013,west,Second Round,2013-03-24,La Salle,13,76,Mississippi,12,74
2013,west,Second Round,2013-03-23,Arizona,6,74,Harvard,14,51
2013,west,Second Round,2013-03-24,Ohio St.,2,78,Iowa St.,10,75
2013,west,Sweet 16,2013-03-28,Wichita St.,9,72,La Salle,13,58
2013,west,Sweet 16,2013-03-28,Ohio St.,2,73,Arizona,6,70
2013,west,Elite 8,2013-03-30,Wichita St.,9,70,Ohio St.,2,66
2013,national,Final Four,2013-04-06,Michigan,4,61,Syracuse,4,56
2013,national,Final Four,2013-04-06,Louisville,1,72,Wichita St.,9,68
2013,national,Championship,2013-04-08,Louisville,1,82,Michigan,4,76
2014,east,First Round,2014-03-21,Virginia,1,70,Coastal Carolina,16,59
2014,east,First Round,2014-03-21,Memphis,8,71,George Washington,9,66
2014,east,First Round,2014-03-20,Harvard,12,61,Cincinnati,5,57
2014,east,First Round,2014-03-20,Michigan St.,4,93,Delaware,13,78
2014,east,First Round,2014-03-21,North Carolina,6,79,Providence,11,77
2014,east,First Round,2014-03-21,Iowa St.,3,93,North Carolina Central,14,75
2014,east,First Round,2014-03-20,Connecticut,7,89,Saint Joseph's,10,81
2014,east,First Round,2014-03-20,Villanova,2,73,Milwaukee,15,53
2014,east,Second Round,2014-03-23,Virginia,1,78,Memphis,8,60
2014,east,Second Round,2014-03-22,Michigan St.,4,80,Harvard,12,73
2014,east,Second Round,2014-03-23,Iowa St.,3,85,North Carolina,6,83
2014,east,Second Round,2014-03-22,Connecticut,7,77,Villanova,2,65
2014,east,Sweet 16,2014-03-28,Michigan St.,4,61,Virginia,1,59
2014,east,Sweet 16,2014-03-28,Connecticut,7,81,Iowa St.,3,76
2014,east,Elite 8,2014-03-30,Connecticut,7,60,Michigan St.,4,54
2014,midwest,First Round,2014-03-21,Wichita St.,1,64,Cal Poly,16,37
2014,midwest,First Round,2014-03-21,Kentucky,8,56,Kansas St.,9,49
2014,midwest,First Round,2014-03-20,Saint Louis,5,83,N.C. St.,12,80
2014,midwest,First Round,2014-03-20,Louisville,4,71,Manhattan,13,64
2014,midwest,First Round,2014-03-21,Tennessee,11,86,Massachusetts,6,67
2014,midwest,First Round,2014-03-21,Mercer,14,78,Duke,3,71
2014,midwest,First Round,2014-03-20,Texas,7,87,Arizona St.,10,85
2014,midwest,First Round,2014-03-20,Michigan,2,57,Wofford,15,40
2014,midwest,Second Round,2014-03-23,Kentucky,8,78,Wichita St.,1,76
2014,midwest,Second Round,2014-03-22,Louisville,4,66,Saint Louis,5,51
2014,midwest,Second Round,2014-03-23,Tennessee,11,83,Mercer,14,63
2014,midwest,Second Round,2014-03-22,Michigan,2,79,Texas,7,65
2014,midwest,Sweet 16,2014-03-28,Kentucky,8,74,Louisville,4,69
2014,midwest,Sweet 16,2014-03-28,Michigan,2,73,Tennessee,11,71
2014,midwest,Elite 8,2014-03-30,Kentucky,8,75,Michigan,2,72
2014,south,First Round,2014-03-20,Florida,1,67,Albany,16,55
2014,south,First Round,2014-03-20,Pittsburgh,9,77,Colorado,8,48
2014,south,First Round,2014-03-21,Stephen F. Austin,12,77,VCU,5,75
2014,south,First Round,2014-03-21,UCLA,4,76,Tulsa,13,59
2014,south,First Round,2014-03-20,Dayton,11,60,Ohio St.,6,59
2014,south,First Round,2014-03-20,Syracuse,3,77,Western Michigan,14,53
2014,south,First Round,2014-03-21,Stanford,10,58,New Mexico,7,53
2014,south,First Round,2014-03-21,Kansas,2,80,Eastern Kentucky,15,69
2014,south,Second Round,2014-03-22,Florida,1,61,Pittsburgh,9,45
2014,south,Second Round,2014-03-23,UCLA,4,77,Stephen F. Austin,12,60
2014,south,Second Round,2014-03-22,Dayton,11,55,Syracuse,3,53
2014,south,Second Round,2014-03-23,Stanford,10,60,Kansas,2,57
2014,south,Sweet 16,2014-03-27,Florida,1,79,UCLA,4,68
2014,south,Sweet 16,2014-03-27,Dayton,11,82,Stanford,10,72
2014,south,Elite 8,2014-03-29,Florida,1,62,Dayton,11,52
2014,west,First Round,2014-03-21,Arizona,1,68,Weber St.,16,59
2014,west,First Round,2014-03-21,Gonzaga,8,85,Oklahoma St.,9,77
2014,west,First Round,2014-03-20,North Dakota St.,12,80,Oklahoma,5,75
2014,west,First Round,2014-03-20,San Diego St.,4,73,New Mexico St.,13,69
2014,west,First Round,2014-03-21,Baylor,6,74,Nebraska,11,60
