Model,Round,Feature,MeanDeltaLogLoss,StdDeltaLogLoss,BaseLogLoss,n
rf,F4,d_AdjT,0.004629829162372214,0.001438388462616769,0.39093856640804947,64
rf,F4,d_Luck,0.03402005156751446,0.01087364690293259,0.39093856640804947,64
rf,F4,d_SOS-AdjEM,0.05769666892952456,0.014951497360630499,0.39093856640804947,64
rf,F4,d_NCSOS-AdjEM,0.008047457880115008,0.0014812337323388206,0.39093856640804947,64
rf,F4,d_Momentum,0.014841366827606348,0.00587796548234946,0.39093856640804947,64
rf,F4,d_OffEFG,0.011284189072826044,0.003094324588078455,0.39093856640804947,64
rf,F4,d_DefEFG,0.016149439404465827,0.003339706721006941,0.39093856640804947,64
rf,F4,d_Seed,0.023424037847213326,0.007522973826918883,0.39093856640804947,64
rf,NCG,d_AdjEM,0.17785766994638366,0.03744795671599521,0.3850394953481042,32
rf,NCG,d_AdjO,0.07486115380256188,0.018701339392133975,0.3850394953481042,32
rf,NCG,d_AdjD,0.04360015954829132,0.014356641950621744,0.3850394953481042,32
rf,NCG,d_AdjT,0.005718004305584194,0.0020995046760372837,0.3850394953481042,32
rf,NCG,d_Luck,0.04601993845834775,0.016382633238698773,0.3850394953481042,32
rf,NCG,d_SOS-AdjEM,0.05204027975487676,0.017558059024461357,0.3850394953481042,32
rf,NCG,d_NCSOS-AdjEM,0.0052124789897295834,0.002547748139273834,0.3850394953481042,32
rf,NCG,d_Momentum,0.013437078064790392,0.008572814669463075,0.3850394953481042,32
rf,NCG,d_OffEFG,0.014363387172049368,0.003937401734337709,0.3850394953481042,32
rf,NCG,d_DefEFG,0.01691701455241492,0.003205198544017605,0.3850394953481042,32
rf,NCG,d_Seed,0.00915041731584134,0.004198133913602648,0.3850394953481042,32
lgbm,R64,d_AdjEM,0.8995246079813319,0.03642465980427977,0.02671848225616507,1022
lgbm,R64,d_AdjO,0.05638288016647827,0.004814108547950344,0.02671848225616507,1022
lgbm,R64,d_AdjD,0.06462625532811876,0.0029736358281026135,0.02671848225616507,1022
lgbm,R64,d_AdjT,0.02454313576703875,0.0016368737468932448,0.02671848225616507,1022
